Source,TestCaseID,File,Layer,Component,PriorityScore,Est,Owner,Jira/PR/SlackRef
Slack,E2E-UI-002,SLK-gen-b1a00932c9a8.md,UI,core,4,S,,gen-b1a00932c9a8
Slack,E2E-UI-003,SLK-gen-b1a00932c9a8.md,UI,core,4,S,,gen-b1a00932c9a8
Slack,A11Y-UI-004,SLK-gen-b1a00932c9a8.md,UI,core,4,S,,gen-b1a00932c9a8
Slack,SLK-gen-b7c58d8a8e00,SLK-gen-b7c58d8a8e00.md,UI,core,4,S,,gen-b7c58d8a8e00
Slack,E2E-UI-001,SLK-gen-b7c58d8a8e00.md,UI,core,4,S,,gen-b7c58d8a8e00
Slack,E2E-UI-002,SLK-gen-b7c58d8a8e00.md,UI,core,4,S,,gen-b7c58d8a8e00
Slack,E2E-UI-003,SLK-gen-b7c58d8a8e00.md,UI,core,4,S,,gen-b7c58d8a8e00
Slack,A11Y-UI-004,SLK-gen-b7c58d8a8e00.md,UI,core,4,S,,gen-b7c58d8a8e00
Slack,SLK-gen-b88b23accc7d,SLK-gen-b88b23accc7d.md,UI,core,4,S,,gen-b88b23accc7d
Slack,E2E-UI-001,SLK-gen-b88b23accc7d.md,UI,core,4,S,,gen-b88b23accc7d
Slack,E2E-UI-002,SLK-gen-b88b23accc7d.md,UI,core,4,S,,gen-b88b23accc7d
Slack,E2E-UI-003,SLK-gen-b88b23accc7d.md,UI,core,4,S,,gen-b88b23accc7d
Slack,A11Y-UI-004,SLK-gen-b88b23accc7d.md,UI,core,4,S,,gen-b88b23accc7d
Slack,SLK-gen-d42a61cead0f,SLK-gen-d42a61cead0f.md,UI,core,4,S,,gen-d42a61cead0f
Slack,E2E-UI-001,SLK-gen-d42a61cead0f.md,UI,core,4,S,,gen-d42a61cead0f
Slack,E2E-UI-002,SLK-gen-d42a61cead0f.md,UI,core,4,S,,gen-d42a61cead0f
Slack,E2E-UI-003,SLK-gen-d42a61cead0f.md,UI,core,4,S,,gen-d42a61cead0f
Slack,A11Y-UI-004,SLK-gen-d42a61cead0f.md,UI,core,4,S,,gen-d42a61cead0f
Slack,SLK-gen-dd90ed7b88cf,SLK-gen-dd90ed7b88cf.md,UI,core,4,S,,gen-dd90ed7b88cf
